Titre,Localisation,Entreprise,Salaire,Description
DATA SCIENTIST F/H,Le Bouscat (33),Aquitem,Indisponible,"DESCRIPTION DU POSTE
Groupe Aquitem - partenaire de votre succès !
Créé en 1987, le groupe réunit aujourd'hui deux sociétés et 120 personnes sur le même site ayant pour cœur d’expertise la DATA :
Aquitem, spécialiste de la conception, gestion et mise en place opérationnelle de programmes de fidélité pour les grandes enseignes

Aliénor.net, spécialiste web et hébergement à valeur ajoutée sur ses propres infrastructures.

Quelques mots nous caractérisent : #Qualité #Service #Innovation #Data #Technologie.

AQUITEM recherche aujourd'hui un/une Data scientist.
De formation supérieure (BAC+5) en mathématiques/statistiques, vous maîtrisez les concepts et les outils modernes de gestion des bases de données relationnelles. Vous avez déjà participé dans le cadre d'une première expérience ou de stages à la gestion de bases de gros volumes et conçu des algorithmes et des statistiques appliquées au marketing.

Au sein de notre division ZeFid' qui gère des bases de données marketing de gros volumes pour des grandes enseignes, vous intégrerez l'équipe de data scientists (5 personnes) et travaillerez en étroite collaboration avec les services de la société (Direction, Chef de projet Marketing, Chef de Projet technique...)

Vos missions consisteront à :
concevoir et implémenter des modèles statistiques ou des algorithmes de machine learning (classification, scoring, recommandation, etc…)

réaliser des études et des analyses permettant une meilleure connaissance du profil des clients des enseignes dont nous gérons les programmes de fidélisation afin d'optimiser ces derniers

agréger, regrouper et donner du sens aux données pour les mettre à disposition des équipes marketing

accompagner les équipes marketing opérationnelles sur les questions de préconisation de ciblage et d’analyses d’opérations

établir des bilans statistiques et des états de reporting dont vous participerez à l'automatisation

contribuer au développement de notre outil de Datavisulisation MyDataviz'


Pour réussir sur ce poste, vous êtes curieux, rigoureux et méthodique, vous avez une bonne aisance relationnelle et rédactionnelle. Vous maîtrisez les langages SQL et R.

Quelques petits plus que nous apprécierions : connaissance de Python, des bases NoSQL et d'un outil décisionnel type Business Object

Chez nous, vous aurez 21 jours de RTT, des tickets restaurant, une prime de vacances et une prime de fin d’année, une excellente mutuelle et une prévoyance de branche.
De plus, il fait bon travailler chez AQUITEM : Parking facile, accès transports en commun, prime Vélo!

FORMATION EXIGÉE
Bac+5

EXPÉRIENCE EXIGÉE
stages ou première expérience

TYPE DE CONTRAT
CDI

SALAIRE INDICATIF
selon profil

LIEU DE TRAVAIL
Le Bouscat"
Stage - Data Scientist,Paris (75),Euler Hermes Group,Indisponible,"Euler Hermes helps companies expand their business worldwide by securing their trade receivables. It is the world leader in Trade Credit Insurance, and part of the Allianz Group.

Euler Hermes is revolutionizing the way of delivering Credit Insurance. The company launched its data lab to accelerate the company’s digital transformation and build it into its core strategy.

Our ambition is to settle a Data Driven company organization by creating Regional Data Labs to run innovative, Big Data, Machine Learning initiatives and deliver disruptive applications.

EH France Data Lab is part of the “Digital Acceleration” Team, in charge of various B2B business innovations, digital product management and partnerships. It directly reports to EH France executive committee. It closely works with EH Group Data Lab, which supports and rolls-out all data science initiatives throughout the Group and helps data scientists to develop their machine learning skills.

Focus will be on how to provide quantitative, data driven insights with actionable results that will underline strategic decision across all business areas – for example:

Does machine learning help better identify prospects?
How could open data increase the performance of existing models?
How to better detect fraudulent behaviors?
How could we improve our services with a better understanding of the customer journey?
EH France Data Lab, as a local team of 3 data scientists, will cover the main priorities of the Region with a portfolio of data initiatives in Marketing, Commercial, Operations, Risk and Innovation.

Main tasks:
The Intern Data Scientist for EH France will report to the Lead Data Scientist and will take ownership of existing Marketing machine learning projects, his/her principal missions would be:

#1 – Maintain, monitor & improve models, by being directly in charge of 2 machine learning projects in production:

Research, implement and improve existing marketing models using new approaches and features
Define KPIs and measure impacts on business for a running Churn prediction model
Supervise the production for an existing commercial prospection algorithm into operational processes, measure the results and monitor the performance
#2 –Support regional Data experiments

Data quality assessment
Data exploration
Statistical analysis and machine learning modelling
Generate reports, annotated code, and other projects artifacts to document, archive, and communicate your work and outcomes
Perform statistical analyses and ""deep dives"" into the data, and present and discuss solutions with business partners.
Master’s Degree in a “STEM” major (Science, Technology, Engineering, Mathematics)
Knowledge / experience in implementing R or Python machine learning algorithms
Demonstrated skills at data cleansing, data quality assessment, in the use of applied analytics, descriptive statistics, and predictive analytics
Having the ability to query databases and perform statistical analysis; able to develop or program databases
Rigorous and autonomous
Strong entrepreneurial spirit, able to work in a fast-paced multidisciplinary environment and in close contact with business managers
Interest in innovations and data science evolutions
Strong written and verbal communication skills
Fluent English spoken and written mandatory
Euler Hermes, the world’s leading provider of credit insurance services, helps its customers around the globe to trade wisely and develop their business safely. With 6,000 employees from more than 70 nationalities, in over 50 countries, Euler Hermes offers a complete range of services for the management of B-to-B trade receivables.

Euler Hermes has developed a credit intelligence network to analyze the financial stability of 40+ million businesses across the globe. Euler Hermes, a company of Allianz, is rated AA by Standard & Poor’s.

At Euler Hermes, we are committed to support our employees in every step of their professional journey, provide tailor-made development programs and open gateways to international opportunities. We encourage them to take ownership and accountability, and to dare to make a difference!

For more information visit http://www.eulerhermes.com/"
Alternance - Data Scientist F/H - Rouen,Rouen (76),Matmut,Indisponible,"Intitulé du poste externe
Alternance - Data Scientist F/H - Rouen
Description de la mission
La Matmut ne fait que de l'assurance ? FAUX !

400, c'est le nombre de collaborateurs travaillant au sein de la Direction Informatique de la Matmut. Une aubaine pour toi si tu souhaites nous rejoindre et proposer tes idées !

Ton quotidien ?

Rattaché à la Direction Informatique, tu participe aux missions de l'équipe Data (Décisionnel et DataLab).

En ce sens, tu participes à la construction de solutions informatiques empiriques d'une certaine complexité pour éclairer sur des faisabilités et les moyens les plus adaptés pour les transformer en récurrents.

Tu réalises le développement en SAS, SQL, Python, R. et participes à la conception d'indicateurs business et suivi d'activité.

Tu rédiges et exécutes des tests et contribues à la conception et à la recherche de solutions techniques de collecte, de nettoyage, d'analyse, de visualisation de données, de développements, d'industrialisation de traitements, autour des techniques de BI classique ou du bigdata/machine learning.

Tu rédiges la documentation technique et fonctionnelle, et assure la présentation des travaux réalisés.
Profil
Tu sais que cette offre est faite pour toi si :

Tu maîtrises des outils et méthodes d'analyse et développement (SAS, SQL, Python, R), de l'organisation des structures de données, des tests.

Tes connaissances dans le domaine du BigData sont fortes (acquises ou en cours d'acquisition),

Tu es curieux, rigoureux, force de propositions et doté d'un bon esprit d'équipe

Tes capacités rédactionnelle et de formalisation sont reconnues.

Tu te reconnais ? Postules en ligne en joignant ton CV et une lettre d'accompagnement expliquant en quoi tes expériences font de toi la personne idéale pour nous rejoindre !

On te parle de nous ?

La Matmut recherche de nouveaux talents pour accompagner sa transformation et son développement avec engagement et ambition, tout en conservant son ADN.

Confiante et bienveillante envers ses salariés, elle construit avec eux des parcours professionnels motivants. Convaincu que la diversité des potentiels est une richesse, elle accompagne, forme et fait grandir tous les talents.

Depuis 1961, le Groupe Matmut est complice de vie de ses sociétaires. Profondément humain et fier de son appartenance à la famille mutualiste, il s'adresse à tous - particuliers, professionnels, entreprises, associations – en proposant une gamme complète de produits d'assurance des biens et des personnes et de services financiers et d'épargne.
Contrat
ALTERNANCE
Localisation du poste
Lieu
66, rue de Sotteville - 76100 ROUEN"
STAGE Data Scientist – Analyse d'image H/F,Magny-les-Hameaux (78),Safran,Indisponible,"Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la défense. Implanté sur tous les continents, le Groupe emploie plus de 92 000 collaborateurs pour un chiffre d'affaires de 21 milliards d'euros en 2018. Safran occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. Pour répondre à l'évolution des marchés, le Groupe s'engage dans des programmes de recherche et développement qui ont représenté en 2018 des dépenses totales d'environ 1,5 milliard d'euros.

Safran est classé dans le Top 100 Global Innovators de Thomson Reuters ainsi que dans le palmarès « Happy at work » des sociétés où il fait bon vivre. Le Groupe est en 4ème position du classement Universum des entreprises préférées des jeunes ingénieurs en France.

Avec la numérisation progressive des outils et méthodes de travail, les secteurs de l'aéronautique, de l'espace et de la défense disposent d'une multitude de données, issues notamment des infrastructures de production et des capteurs installés sur les produits. En déployant une stratégie Big Data, Safran veut faire de l'analyse des données un levier de performance.

De nombreuses possibilités d'optimisation des performances reposent sur l'analyse d'images.

En se basant sur les travaux déjà réalisés chez Safran et les résultats de la littérature (Convolutional Neural Networks, Transfer Learning), vous appliquerez des techniques avancées de science des données pour extraire des informations utiles d'images et notamment identifier les défauts de pièces en production.
Bonne connaissance de méthodes de machine learning (la connaissance des CNN est un plus).
A l'aise en Python (la connaissance d'un framework Deep Learning est un plus – PyTorch, TensorFlow, …)
Ouverture d'esprit, rapidité d'apprentissage, autonomie
Capacité à communiquer des résultats techniques"
Consultant stagiaire - Data & Analytics - Neuilly-Sur-Seine...,Neuilly-sur-Seine (92),Grant Thornton France,Indisponible,"Analyse de données, recherche de fraude, solutions de contrôle continu, Machine Learning, Big Data…

Au sein de Grant Thornton, 6e cabinet national d’audit et de conseil, nous recrutons aujourd’hui, dans le cadre du développement de notre équipe dédiée au conseil Business Risk Services, un consultant stagiaire.

Le consultant aura pour principales missions d’accompagner l’équipe sur ses missions diverses en cours (participation à la production de livrables, déplacements en clientèle…) ainsi que de contribuer au développement de l’offre commerciale.

Les principales missions du consultant seront les suivantes :
Sous la supervision d’un consultant, participer à des missions de conseil portant sur la recherche de fraude, la mise en place de solutions de contrôle continu et de reportings automatisés à l’aide d’outils de Data Visualisation
Contribuer au développement de l’entité Business Risk Services en participant à des projets internes.
Pour ce faire, le consultant bénéficie des qualités suivantes : autonomie, proactivité, fort intérêt pour l’analyse de données, capacités rédactionnelles, analytiques et synthétiques, aisance orale, rigueur…

Diplômé d’une formation d’Ecole d’Ingénieur, idéalement complétée par une spécialisation en gestion, vous souhaitez rejoindre une équipe en croissance

Idéalement, vous recherchez un stage de fin d’étude à compter de septembre 2020 ou janvier 2021 pour une durée de 6 mois.

Désireux de rejoindre un cabinet en croissance, vous êtes impliqué, doté d’un excellent relationnel et souhaitez travailler au sein d’équipes pluridisciplinaires. Vous êtes curieux, motivé et avez une grande capacité d’adaptation.

La connaissance des outils et techniques d’analyse de données (SQL, Google Big Query, ACL, Data Studio, Python, Power BI, etc.) est un plus.

Vous maîtrisez l'anglais dans un environnement professionnel.

A compétences égales, travailleurs en situation de handicap bienvenus !"
Data Scientist (H/F),Paris (75),Le Lynx,Indisponible,"Chez LeLynx.fr, la data est utilisée au quotidien par l’ensemble de l’équipe pour le suivi des résultats et l’aide à la prise de décision.
Dans ce contexte, vous serez en charge de l’analyse de notre expérience client et de son impact business.
Vous participerez à la mise en place d’un projet d’amélioration du service LeLynx.fr basé sur du machine Learning, notamment :
choix des modèles statistiques à utiliser ;
automatisation des modèles ;
optimisation des modèles ;
intégration de nouveaux indicateurs dans les modèles.
Vous serez amené.e à :
publier des tableaux de bord sur notre outil de BI et à produire des études de données pour les différents services business ;
mettre à jour des modèles statistiques existants ;
proposer de nouveaux modèles ;
animer régulièrement des formations cross service pour faire vivre la culture data au sein de l’entreprise.
Enfin, vous êtes le garant du bon fonctionnement de processus récurrents tels que le processus d’intégration des données partenaires suite à l’envoi de données de facturation.
De manière générale, en tant que membre de l’équipe Data, vous serez une référence concernant l’accès aux données, leur compréhension et leur analyse, auprès de l’ensemble de l’équipe LeLynx.fr.
Profil recherché
Vous êtes diplomé.e d’une formation de l’enseignement supérieur avec spécialisation en machine learning. Vous possédez une première expérience en entreprise en tant que Data Scientist.
Vous êtes à l’aise avec les outils ou langages suivants :
R ou Python pour les modèles statistiques
SQL pour l’extraction de données
Tableau Software pour l’analyse et la visualisation de données
Vous serez amené.e à échanger avec les différentes entités du groupe Admiral (en Inde, au Royaume- Uni, en Espagne). Dans ce contexte, votre niveau d’anglais est opérationnel, à l’écrit comme à l’oral. Vous êtes rigoureux.se, force de proposition et pédagogue.
Modalités :
Le poste est basé à Paris 19ème, le long du canal de l’Ourcq (concours de pétanque et piqueniques à foison l’été).
Nous proposons des fruits, du café et du thé à volonté, ainsi que des sorties mensuelles (expos, bars, activités team building…), bref, tout ce qu’il faut pour que vous soyez le plus heureux possible.
Date de démarrage : Lundi 4 mai
Rémunération : Selon profil
Mutuelle, carte déjeuner & remboursement transports à hauteur de 50%
Informations complémentaires
Type de contrat : CDI
Date de début : 04 mai 2020
Lieu : Paris, France (75019)
Expérience : > 2 ans"
Ingénieur Data Analyst H/F,Pau (64),CS Group,Indisponible,"DESCRIPTION DE L'OFFRE
CS Group recherche un Ingénieur Data Analyst (H/F) pour :
Concevoir, développer et optimiser des algorithmes Statistiques et de Machine Learning en mode Big Data, en travaillant sur des publications scientifiques et en coordination avec les experts du pôle Big Data;
Participer à la conception et la mise au point des visualisations associées.

Votre travail pourra être capitalisé au sein de publications scientifiques.

PROFIL REQUIS
Ingénieur de formation ou équivalent universitaire (BAC+5), vous avez une spécialité en Statistiques, Machine Learning et Mathématiques appliqués. Vous justifiez d'une expérience de 5 ans minimum sur un poste similaire.
Vous devez également avoir des compétences en développement logiciel en particulier sur les technologies suivantes :
Langages Python, R, Javascript, Java, Scala, Matlab, SQL;
MapReduce et Spark;
Techniques de tests unitaires et de profilage de code;
Gestionnaires de faits techniques, forges logicielles et outils de gestion de code source (Git).

Amené à faire de la rédaction et des présentations, vous êtes rigoureux dans votre travail.
Autonome et curieux , vous êtes doté d'un bon relationnel.
Vous maîtrisez l'anglais à l'écrit.

CS Group en quelques mots ?
CS Group est un concepteur, intégrateur et opérateur de systèmes critiques intelligents cyberprotégés.
En proposant des solutions innovantes dans les domaines de la cyber sécurité, des systèmes sûrs industriels et embarqués, de la continuité numérique et de la gestion de crise et de la surveillance de zones, CS Group a su s’imposer en tant que partenaire privilégié pour les acteurs des secteurs de la Défense et de la Sécurité, du Spatial, de l’Aéronautique et de l’Energie. (www.c-s.fr)

Nous rejoindre c’est :
Bénéficier d’un management de proximité.
Progresser individuellement et collectivement.
Evoluer dans un environnement flexible, à dimension humaine et convivial.

Intéressé ? Déposez votre CV et additionnons nos talents !"
DATA SCIENTIST F/H,Nomexy (88),INNOTHERA NOMEXY,Indisponible,"Les principales missions auxquelles vous participerez sont les suivantes, au cœur de l’organisation à la croisée de la Production, la Qualité, la Supply Chain, la Maintenance, le Développement Produits/Process :

Analyser et « faire parler » les données entreprises

Rechercher les multi corrélations et proposer des règles d’affectation et de pilotage machine en s’appuyant sur un historique complet de plusieurs années

Mettre en place un dispositif permettant par l’analyse des signaux faibles afin d’anticiper toute dérive qualité ou performance

Structurer le recueil des données, les transformer en information et bâtir un système d’aide à la décision pour garantir une amélioration continue des standards.
Profil recherché Formation MASTER Traitement de l'information et exploitation de données, Ingénieur d'études en traitement de l'information et analyse de données

Expertise statistique et informatique. Connaissance des bases de données. connaissance des méthodes de machine Learning, maîtrise d'outils analytiques.

Organisation, grande rigueur et esprit de confidentialité. Goût pour les chiffres, les statistiques et le ""terrain"".

Sens de la communication, curiosité intellectuelle.
Entreprise Animé par des valeurs profondément humanistes, INNOTHERA, laboratoire familial et indépendant, mise depuis plus de 100 ans sur l’innovation et la technologie pour améliorer le traitement des maladies du quotidien qui empoisonnent la vie de millions de personnes dans le monde. INNOTHERA NOMEXY recrute au sein de son site basé dans les Vosges (340 personnes), qui développe et produit des dispositifs médicaux pour le traitement des maladies veineuses, un data scientist, en CDD de 6 ."
Data Scientist - ALT (h/f),Ugine (73),Ugitech,Indisponible,"Ugitech, une entreprise du Groupe SCHMOLZ + BICKENBACH, est l’un des fabricants leaders de produits longs en acier inoxydable, dans le monde entier. Ses principaux produits, les billettes, les barres, le fil machine et le fil tréfilé, sont issus de sa propre aciérie, transformés dans son laminoir à chaud et ses tréfileries. Les aciers inoxydables sont caractérisés par leurs hautes propriétés mécaniques. Ils sont utilisés pour la fabrication d’une multitude de pièces, parmi lesquelles les vannes, les composants de turbines, les baguettes de soudure ou les instruments chirurgicaux. Avec plus de 100 ans d’expérience dans la fabrication de l’acier et des travaux de recherche permanents dans le domaine de la métallurgie, l’entreprise garantit aux clients de ses marchés tels que l’industrie automobile, la construction, l’industrie des procédés, l’industrie aéronautique et spatiale, ainsi que la technique médicale, des solutions optimales pour des applications très exigeantes.
Ugitech, leader des aciers longs inoxydables, est en route vers l'industrie 4.0.
Pour accompagner cette transformation, la DSI met en place un Datalab dédié aux projets innovants.
Dans ce cadre, Ugitech souhaite intégrer un alternant de niveau Master en Data Science ou équivalent pour participer au lancement de cette nouvelle activité.
Vos Missions
Si l'Intelligence Artificielle, le Deep Learning et le Machine Learning sont des domaines qui vous motivent, venez rejoindre nos équipes, et développer vos compétences dans un environnement industriel dynamique et agile, au coeur de nos montagnes Savoyardes.
Durant cette alternance, vous serez amené à travailler sur de nombreux projets, touchant l'ensemble des domaines de l'entreprise : process, qualité, commercial, finances, … et l'ensemble des briques de la Data Science : Analyse, Data Integration, Data Préparation, Modélisation, Entrainement, Data Visualisation, …
Votre Profil
Vous préparez un diplôme d'ingénieur en informatique ou un Master spécialisé en Data Science
Vous avez des compétences de base dans le domaine de la Data Science (traitement de données, statistiques, modélisation, data visualisation, python, etc...)
Vous faites preuve d'autonomie, de curiosité et de motivation
Nous vous proposons
Une alternance d'une durée de 2 à 3 ans
Une rémunération sur 13 mois + accord d’intéressement et de participation
Accès au restaurant d'entreprise
Possibilité d'indemnité d’hébergement sous conditions."
Data Scientist - Stage F/H,Paris (75),AG2R La Mondiale,Indisponible,"Référence : 2020-23526
Caractéristique du poste
Type de contrat : Stagiaire
Pays / région / département : France, Ile-de-France , PARIS (75)
Ville : PARIS
Votre rôle principal
Rattaché à la direction actuariat produit, nous recherchons un stagiaire orienté Data sciences.
Nous vous proposons de faire évoluer les modèles actuariels classiques en saisissant les opportunités offertes par le big data et les techniques du ML (Machine Learning), tout en intégrant les contraintes réglementaires et éthiques.
Depuis quelques années, le monde de l’assurance connait des mutations importantes :
Digitalisation, big data, algorithmes du ML : présentent une opportunité aux assureurs leur permettant de valoriser les données (dark data), améliorer leur connaissance du risque et mieux répondre aux attentes de l’assuré.
Cette opportunité est étroitement liée à des enjeux importants sur le marché : une concurrence accrue liée aux nouveaux arrivants (insurtechs, GAFA …) et une inflation réglementaire de plus en plus importante liée à l’utilisation éthique des données et des systèmes de l’IA.
Vos responsabilités
Le stagiaire sera amené à challenger les modèles actuariels et proposer des algorithmes innovants pour l'amélioration de la connaissance client (Know Your Customer) en vue de personnaliser l'offre et affiner la tarification des produits prévoyance/santé :
Compréhension des besoins métiers en termes de modélisation du risque actuariel;
Implémentation des modèles de ML;
Mesure de la performance du modèle et interprétation des résultats dans un souci de réponse à la problématique métier identifiée.

Vos compétences et atouts

Vous suivez un cursus de formation orienté DATA Sciences.

Vous avez des connaissances dans les outils suivants :
Méthodes statistiques, SAS base et SQL
Compréhension et connaissance d’algorithmes basiques du ML
Librairies python pour les projets data science (pandas, sickit-learn, keras …)

Dynamisme, rigueur, curiosité, ouverture d’esprit, esprit d’analyse et de synthèse"
STAGE/INTERNSHIP- Data scientist -Qualité & production (f/h),Toulouse (31),Airbus,Indisponible,"Airbus Operations SAS
Airbus is a global leader in aeronautics, space and related services. In 2019 it generated revenues of € 70.5 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world’s leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
Et si VOTRE aventure commençait avec NOUS !
Dans le cadre d'un cursus scolaire en formation initiale, vous recherchez un stage obligatoire ou à intégrer dans une année de césure, d'une durée de 6 mois, vous permettant de valider votre année.
Nous vous proposons de travailler dans une entreprise leader mondial dans son domaine, tournée vers le digital, à la pointe de la recherche et de l’innovation.
Une offre de stage en Data Scientist Qualité & Production (h/f) vient de s'ouvrir au sein de l’usine Airbus Saint-Eloi à Toulouse.
Ce stage est à pourvoir à partir du début d'année 2020.(date flexible)
Vous rejoindrez le pole digital du département Qualité de l’usine en charge définir la stratégie et de déployer les nouvelles technologies au sein des équipes Qualité.
Le stage aura pour objet d’apporter une contribution significative au projet « Prédiction de la Qualité » destiné à réduire à la fois les temps d’inspection du produit et les coûts de production.
Vous ferez partie intégrante de l’équipe projet et contribuerez à toutes ses phases, de la connectivité à la sélection et la validation de modèle prédictif.
Tâches et responsabilités :
Vous serez sous la responsabilité d’un chef de projet qui vous aidera à identifier vos objectifs professionnels et vous soutiendra dans le développement de vos compétences.
Dans ce contexte, vos principales activités seront de contribuer au projet « Prédiction de la Qualité » en:
identifiant les paramètres clé des procédés de production parmi les données collectées sur les moyens industriels de l’usine
définissant des modèles prédictifs dans le but d’améliorer la qualité
organisant le suivi du contrôle des paramètres des processus clés (SPC)
Profil recherché et Compétences requises:
Vous préparez un diplôme de niveau Bac + 5, en Ingénierie ou équivalent, avec une spécialisation en Data Science et vous avez les compétences suivantes :
Anglais : INTERMEDIAIRE
Français : AVANCE
Un vif intérêt pour le monde industriel et l’exploitation des données
Connaissance de différentes techniques de machine learning
Une maitrise des outils tels que python, R
Savoir-être :
Rigoureux (se), curieux (se) et autonome
Doté (e) d’un sens relationnel et bonne capacité de communication
Aptitude d’analyse et de synthèse
et pourvu(e) d’esprit d’équipe.
Enfin des connaissances en gestion de projet seraient un plus.
Vous pourrez, selon les offres proposées, être amené(e) à vous déplacer.
Si votre profil retient notre attention, vous serez invité à réaliser un entretien vidéo au cours duquel vous aurez quelques minutes pour nous convaincre. Par la suite, votre candidature pourra être proposée aux managers.
Si la perspective de rejoindre notre Groupe innovant vous motive ?
N’hésitez pas ! Postulez en ligne ! www.airbus.com/careers
Predictive Maintenance and Quality project has to the ambition to identify key process parameters from machine data. By putting those parameters under control (SPC), product inspections and production lead time will be reduced. Part of the project team, the candidate will contribute to all steps of the project, from machine connectivity to machine learning model selection and validation.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief."
Ingénieur Data Scientist expérimenté(e) H/F,Toulouse (31),CS Group,Indisponible,"DESCRIPTION DE L'OFFRE
CS Group recherche un(e) Data Scientist expérimenté(e) H/F afin d’accompagner la croissance de son activité.
Vous réaliserez les missions suivantes :
Analyser de gros volumes de données de type ‘série temporelle’, développer et déployer des modèles prédictifs, et assurer la communication avec le client;
Contribuer aux activités de prospection et d’avant-vente de l’offre ‘Maintenance Prédictive’ (compréhension du besoin, proposition de solutions techniques, réalisation de missions d’audit, …)

PROFIL REQUIS
Ingénieur de formation ou équivalent universitaire (BAC+5), vous avez une spécialité en Statistiques, Machine Learning et Mathématiques appliqués. Vous justifiez d'au minimum 5 ans d’expérience dont 2 en tant que Data Scientist.

Vous disposez des compétences techniques suivantes:
Mathématiques et statistiques (dont connaissance de R);
Connaissances des techniques/algorithmes de Data Mining et Machine Learning;
Langage et Framework de développement : Java, Python, SPARK;
Connaissance des architectures BigData;
Analyse de Time Series;
Optionnel : Bases de données NoSQL, Hive, Traitement du Signal, Maintenance prédictive.
Une première expérience en avant-vente serait appréciée.

Force de proposition, vous parlez anglais couramment.

CS Group en quelques mots ?
CS Group est un concepteur, intégrateur et opérateur de systèmes critiques intelligents cyberprotégés.
En proposant des solutions innovantes dans les domaines de la cyber sécurité, des systèmes sûrs industriels et embarqués, de la continuité numérique et de la gestion de crise et de la surveillance de zones, CS Group a su s’imposer en tant que partenaire privilégié pour les acteurs des secteurs de la Défense et de la Sécurité, du Spatial, de l’Aéronautique et de l’Energie. (www.c-s.fr)

Nous rejoindre c’est :
Bénéficier d’un management de proximité.
Progresser individuellement et collectivement.
Evoluer dans un environnement flexible (télétravail…), à dimension humaine et convivial.

Où sommes-nous situés ?
Notre agence se situe à Saint-Martin du Touch - 6 rue Emmanuel Arin - 31300 Toulouse.
Le site Europarc 2 est accessible en transports en commun :
- Ligne de Bus L2 - Arrêt Jean Petit.
Ligne C SNCF TER – Arrêt Saint-Martin

Si vous préférez, CS rembourse des indemnités kilométriques vélos !

Intéressé ? Déposez votre CV et additionnons nos talents !"
Data Scientist - ALT (h/f),Ugine (73),Ugitech,Indisponible,"Ugitech, une entreprise du Groupe SCHMOLZ + BICKENBACH, est l’un des fabricants leaders de produits longs en acier inoxydable, dans le monde entier. Ses principaux produits, les billettes, les barres, le fil machine et le fil tréfilé, sont issus de sa propre aciérie, transformés dans son laminoir à chaud et ses tréfileries. Les aciers inoxydables sont caractérisés par leurs hautes propriétés mécaniques. Ils sont utilisés pour la fabrication d’une multitude de pièces, parmi lesquelles les vannes, les composants de turbines, les baguettes de soudure ou les instruments chirurgicaux. Avec plus de 100 ans d’expérience dans la fabrication de l’acier et des travaux de recherche permanents dans le domaine de la métallurgie, l’entreprise garantit aux clients de ses marchés tels que l’industrie automobile, la construction, l’industrie des procédés, l’industrie aéronautique et spatiale, ainsi que la technique médicale, des solutions optimales pour des applications très exigeantes.
Ugitech, leader des aciers longs inoxydables, est en route vers l'industrie 4.0.
Pour accompagner cette transformation, la DSI met en place un Datalab dédié aux projets innovants.
Dans ce cadre, Ugitech souhaite intégrer un alternant de niveau Master en Data Science ou équivalent pour participer au lancement de cette nouvelle activité.
Vos Missions
Si l'Intelligence Artificielle, le Deep Learning et le Machine Learning sont des domaines qui vous motivent, venez rejoindre nos équipes, et développer vos compétences dans un environnement industriel dynamique et agile, au coeur de nos montagnes Savoyardes.
Durant cette alternance, vous serez amené à travailler sur de nombreux projets, touchant l'ensemble des domaines de l'entreprise : process, qualité, commercial, finances, … et l'ensemble des briques de la Data Science : Analyse, Data Integration, Data Préparation, Modélisation, Entrainement, Data Visualisation, …
Votre Profil
Vous préparez un diplôme d'ingénieur en informatique ou un Master spécialisé en Data Science
Vous avez des compétences de base dans le domaine de la Data Science (traitement de données, statistiques, modélisation, data visualisation, python, etc...)
Vous faites preuve d'autonomie, de curiosité et de motivation
Nous vous proposons
Une alternance d'une durée de 2 à 3 ans
Une rémunération sur 13 mois + accord d’intéressement et de participation
Accès au restaurant d'entreprise
Possibilité d'indemnité d’hébergement sous conditions."
